idx,original_post,sentence1,sentence2,automatic_antithesis,gold_label,real_antithesis,contrast
997,"Medien Priorität: 18 Minuten Corona, 30 Minuten Afghanistan:  Eindrücke von der Bundespressekonferenz. Sehr viel Afghanistan, viel weniger Corona, und noch weniger Pressefreiheit – die wiederum offenbar ausschließlich durch Hans Georg Maaßen bedroht ist. Die Schwerpunkte der großen Medien sind deutlich verteilt. ",18 Minuten Corona,30 Minuten Afghanistan,0,0,0,1
998,"Medien Priorität: 18 Minuten Corona, 30 Minuten Afghanistan:  Eindrücke von der Bundespressekonferenz. Sehr viel Afghanistan, viel weniger Corona, und noch weniger Pressefreiheit – die wiederum offenbar ausschließlich durch Hans Georg Maaßen bedroht ist. Die Schwerpunkte der großen Medien sind deutlich verteilt. ",Sehr viel Afghanistan,viel weniger Corona,0,0,0,1
999,"Medien Priorität: 18 Minuten Corona, 30 Minuten Afghanistan:  Eindrücke von der Bundespressekonferenz. Sehr viel Afghanistan, viel weniger Corona, und noch weniger Pressefreiheit – die wiederum offenbar ausschließlich durch Hans Georg Maaßen bedroht ist. Die Schwerpunkte der großen Medien sind deutlich verteilt. ",Sehr viel Afghanistan,noch weniger Pressefreiheit,0,0,0,1
1000,"Medien Priorität: 18 Minuten Corona, 30 Minuten Afghanistan:  Eindrücke von der Bundespressekonferenz. Sehr viel Afghanistan, viel weniger Corona, und noch weniger Pressefreiheit – die wiederum offenbar ausschließlich durch Hans Georg Maaßen bedroht ist. Die Schwerpunkte der großen Medien sind deutlich verteilt. ",viel weniger Corona,noch weniger Pressefreiheit,0,0,0,1
1001,Lasst unseren Vater in Frieden sterben und streut in diesem Haus nicht noch mehr Angst“. Wie ein totkranker AfD Abgeordneter terrorisiert wird – und die Medien schweigen. Martin Hebner liegt mit einem Hirntumor im Sterben. Er und seine Familie werden dennoch weiter von der Antifa bedroht. Die Polizei riet von einer Anzeige ab. Ein erschütterndes Sittengemälde aus dem 'besten Deutschland aller Zeiten'.,Martin Hebner liegt mit einem Hirntumor im Sterben,Die Polizei riet von einer Anzeige ab,0,0,0,0
1002,"Die mediale Vernichtung des Hans Georg Maaßen – wie aus dem Lehrbuch: Desinformations  und Rufmord Kampagne – für Sie dechiffriert. Der Ex Verfassungsschutzpräsident habe eine 'Gesinnungsprüfung' für Journalisten gefordert, empören sich große Medien unisono. Das ist Manipulation, die an finstere Zeiten erinnert – und heute leider allgegenwärtig ist. Eine Analyse. ",Die mediale Vernichtung des Hans Georg Maaßen,Der Ex Verfassungsschutzpräsident habe eine 'Gesinnungsprüfung' für Journalisten gefordert,0,0,0,0
1003,"Ein ganz, ganz großes Dankeschön!! 20000 Abonnenten auf Telegram.  Bei Youtube trotz Sperrungen und Zensur 293.000. Auf Twitter 93.000 (und tobende Trolle). 5,9 Millionen Seitenbesucher im Juli.  Das zeigt:  Die Hetze geht nach hinten los. Immer mehr Menschen wollen kritischen Journalismus statt betreutem Informieren.",20000 Abonnenten auf Telegram,Bei Youtube trotz Sperrungen,0,0,0,0
1005,"Digitalkompetenz heißt in der Politik „Schwerer Ausnahmefehler“. Desaströse Entgleisung der CDU nach Aufdeckung einer Sicherheitslücke in eigener App. Softwarehersteller, Firmen und auch politische Betriebe profitieren immens, wenn ihnen IT Fachleute vertrauensvoll Sicherheitslücken in der eigenen Infrastruktur melden. Aber ausgerechnet die Partei, die in Deutschland die Digitalministerin stellt, gibt sich mit ihrer Reaktion auf ganzer Linie der Lächerlichkeit preis. ",Firmen und auch politische Betriebe profitieren immens,gibt sich mit ihrer Reaktion auf ganzer Linie der Lächerlichkeit preis,0,0,0,0
1006,"Nichts wie weg? Auswandern – aber richtig! „Ich bin dann mal weg“ – Immer mehr Menschen spielen mit dem Gedanken, sich mit diesem Satz aus der Bundesrepublik zu verabschieden. Experte Heuermann erzählt, wie es geht – auch mit kleinem Geldbeutel und mit Kindern. ",sich mit diesem Satz aus der Bundesrepublik zu verabschieden,Experte Heuermann erzählt,0,0,0,0
1007,"Aufgehetzte Passanten ließen am Rande der Demo am Sonntag in Berlin ihrem Zorn gegen alles, was sie für „Corona Leugner“ halten, freien Lauf – bis an den Rand physischer Attacken. Ich habe einige Beispiele im Video dokumentiert – ein erschreckende Zeitzeugnis.  ",freien Lauf,ein erschreckende Zeitzeugnis,0,0,0,0
1008,"Stoppt Europäischer Gerichtshof Armin Laschets Abschiebungen? Armin Laschet wollte den Hardliner geben und Afghanen weiter abschieben. Diesem Vorhaben hat der Europäische Gerichtshof einen Riegel vorgeschoben – Laschet kann sich jetzt drauf berufen, ihm seien die Hände gebunden. ",Armin Laschet wollte den Hardliner geben,ihm seien die Hände gebunden,0,0,0,0
1009,"Polizei Gewalt in Berlin: „Ich dachte, die bringen den um!“ Blutiger Brutalo Einsatz bei Demo: Zwei Platzwunden am Kopf, die genäht werden mussten Ein Anwohner schildert, wie Beamten einen wehrlosen jungen Mann blutig schlugen. Er spricht von einer „Prügel Orgie“. Im Internet tauchten nun auch Bilder auf, die den Verdacht nähren, dass auch ein Kind geschlagen wurde. ",Polizei Gewalt in Berlin,Blutiger Brutalo Einsatz bei Demo,0,0,0,0
1010,"Polizei Gewalt in Berlin: „Ich dachte, die bringen den um!“ Blutiger Brutalo Einsatz bei Demo: Zwei Platzwunden am Kopf, die genäht werden mussten Ein Anwohner schildert, wie Beamten einen wehrlosen jungen Mann blutig schlugen. Er spricht von einer „Prügel Orgie“. Im Internet tauchten nun auch Bilder auf, die den Verdacht nähren, dass auch ein Kind geschlagen wurde. ",Polizei Gewalt in Berlin,Zwei Platzwunden am Kopf,0,0,0,0
1011,"Sind Geimpfte doch ansteckend? Regierung schaut nicht so genau hin! Risse im offiziellen Narrativ. Meldungen aus den USA, wonach Geimpften weiter ansteckend bleiben, lassen die Bundesregierung ganz offensichtlich kalt. Sie hält an der Aufteilung in Geimpfte und Ungeimpfte fest – ändert aber hastig das „Kleingedruckte“. ",Risse im offiziellen Narrativ,Meldungen aus den USA,0,0,0,1
1012,"Berlin: Demonstrant stirbt nach Festnahme durch die Polizei. Youtube attestiert der Berliner Polizei, so gewalttätig zu sein, dass ein Video von Boris Reitschuster, das brutale Szenen von Polizeigewalt zeigt, auf dem Index landet. Dabei musste der Journalist sich mehrfach selbst lautstark gegen Polizeiübergriffe wehren. Ein Demonstrant starb. Von Alexander Wallasch. ",Demonstrant stirbt nach Festnahme durch die Polizei,Youtube attestiert der Berliner Polizei,0,0,0,0
1013,"Berlin: Demonstrant stirbt nach Festnahme durch die Polizei. Youtube attestiert der Berliner Polizei, so gewalttätig zu sein, dass ein Video von Boris Reitschuster, das brutale Szenen von Polizeigewalt zeigt, auf dem Index landet. Dabei musste der Journalist sich mehrfach selbst lautstark gegen Polizeiübergriffe wehren. Ein Demonstrant starb. Von Alexander Wallasch. ",auf dem Index landet,Ein Demonstrant starb,0,0,0,0
1014,"Berlins Polizei will hart gegen Demonstranten vorgehen, Markus Haintz von den Anwälten für Aufklärung sagt, trotz des Verbots werde morgen demonstriert werden. Youtube zensiert das Interview mit ihm mit einer neuen Methode. Ich war heute den halben Tag in der Hauptstadt unterwegs. Hier meine Kurz Reportagen und Videos – unter anderem mit dem Sprecher der Berliner Polizei und einer verhinderten Demonstrantin. ",Berlins Polizei will hart gegen Demonstranten vorgehen,Markus Haintz von den Anwälten für Aufklärung sagt,0,0,0,0
1015,"Berlins Polizei will hart gegen Demonstranten vorgehen, Markus Haintz von den Anwälten für Aufklärung sagt, trotz des Verbots werde morgen demonstriert werden. Youtube zensiert das Interview mit ihm mit einer neuen Methode. Ich war heute den halben Tag in der Hauptstadt unterwegs. Hier meine Kurz Reportagen und Videos – unter anderem mit dem Sprecher der Berliner Polizei und einer verhinderten Demonstrantin. ",Youtube zensiert das Interview mit ihm mit einer neuen Methode,?unter anderem mit dem Sprecher der Berliner Polizei und einer verhinderten Demonstrantin,0,0,0,0
1016,In den meisten Bundesstaaten der USA sind die Corona Maßnahmen beendet. In Deutschland werden Demonstrationen gegen die Corona Maßnahmen verboten.,In den meisten Bundesstaaten der USA sind die Corona Maßnahmen beendet,In Deutschland werden Demonstrationen gegen die Corona Maßnahmen verboten,0,0,0,1
1017,"Der Gouverneur von Florida hat – wie in 44 von 50 Staaten der USA – sämtliche Corona Maßnahmen aufgehoben. Die Bürger sollen eigenverantwortlich handeln, statt dass der Staat sie gängelt und überwacht. Forderungen nach Impfzertifikaten sind sogar unter Strafe gestellt Das Leben hat sich völlig normalisiert – ein Bericht aus dem Sunshine State. ",Der Gouverneur von Florida hat,ein Bericht aus dem Sunshine State,0,0,0,0
1018,"Facebook glaubt offenbar, es stünde über dem Gesetz: Kaum hat der Bundesgerichtshof dem Netzwerk verboten, Accounts ohne Vorwarnung zu sperren, tut es genau das –  bei Klaus Kelle, weil er das Wort „Zigeunerschnitzel“ benutzte. ",Accounts ohne Vorwarnung zu sperren,weil er das Wort „Zigeunerschnitzel“ benutzte,0,0,0,1
1019,"Geimpfte und Ungeimpfte: Droht Zwei Klassen Gesellschaft auf der Intensivstation? Leopoldina Forscher bringt 'Triage' der anderen Art ins Spiel. Aus der Akademie, die stramm Merkels harten Corona Kurs unterstützt, sind jetzt unglaubliche Töne zu hören: Massives Gepolter gegen Ungeimpfte und der Vorschlag, bei einem Mangel an Beamtungsgeräten auch den Impfstatus entscheiden zu lassen, wer behandelt wird. ",der anderen Art ins Spiel,Massives Gepolter gegen Ungeimpfte,0,0,0,0
1020,"Man kann gegen die Corona Maßnahmen sein, oder für sie: Aber man kann nicht dafür sein, dass Kritiker derselben nicht mehr demonstrieren dürfen. Hier die Liste der Demos, die verboten wurden in Berlin: ein trauriges Dokument des Demokratie Verfalls in Dtl. ",Man kann gegen die Corona Maßnahmen sein,Hier die Liste der Demos,0,0,0,1
1021,Oberster Patientenschützer als Impf Einpeitscher. Junge Generation jetzt plötzlich doch nicht solidarisch? Die Corona Impfung stößt in Deutschland auf immer mehr Skepsis. Die Kampagne stockt. Politiker und Funktionäre üben sich deshalb als Einpeitscher. Kaum ein Tag vergeht ohne Drohungen und Erpressungsversuche in Richtung der Ungeimpften. Von Antonia Winterstein.,Die Corona Impfung stößt in Deutschland auf immer mehr Skepsis,Politiker und Funktionäre üben sich deshalb als Einpeitscher,0,0,0,0
1022,"„Das ist nicht mehr die Partei, der ich vor 52 Jahren beigetreten bin“. Gnadenloser Abschiedsbrief eines CSU Mitglieds an Markus Söder. Es ist eine vernichtende Bilanz der Ära Merkel und der Rolle der CSU dabei: Florian Stumfall zieht nach 52 Jahren in der CSU die Notbremse und verlässt die Partei. Nicht, ohne grundlegend mit ihr abzurechnen. ",Gnadenloser Abschiedsbrief eines CSU Mitglieds an Markus Söder,Es ist eine vernichtende Bilanz der Ära Merkel und der Rolle der CSU dabei,0,0,0,0
1023,"„Kritische Journalisten als „rechtsradikal“ zu diffamieren, ist absurd und lächerlich“. Stramme Linksgrüne wie Tilo Jung neigen zu Hass Attacken gegen kritische Stimmen. Umso erstaunlich ist es, dass sie dabei jetzt von ganz links Widerspruch erfahren. Der Abgeordnete Dehm zerlegt heute Jung und dessen Hetze. ",ist absurd und lächerlich“,Umso erstaunlich ist es,0,0,0,1
1024,"Konzerte sind „keine politische Bühne“ – ist das Geist der DDR? Wird Nena jetzt an Ausreise denken (müssen)? „Es liest sich wie DDR. Es schmeckt wie DDR (allerdings noch mit Bananen). Es riecht wie DDR. Wenn das nicht DDR ist, was ist es dann?“ Ost SPD Mitbegründer Gunter Weißgerber über seine DDR Déjà vus am Beispiel von Nena und der Hetze gegen sie.",Es liest sich wie DDR,Es schmeckt wie DDR,0,0,0,0
1025,"Konzerte sind „keine politische Bühne“ – ist das Geist der DDR? Wird Nena jetzt an Ausreise denken (müssen)? „Es liest sich wie DDR. Es schmeckt wie DDR (allerdings noch mit Bananen). Es riecht wie DDR. Wenn das nicht DDR ist, was ist es dann?“ Ost SPD Mitbegründer Gunter Weißgerber über seine DDR Déjà vus am Beispiel von Nena und der Hetze gegen sie.",Es liest sich wie DDR,Es riecht wie DDR,0,0,0,0
1026,"Konzerte sind „keine politische Bühne“ – ist das Geist der DDR? Wird Nena jetzt an Ausreise denken (müssen)? „Es liest sich wie DDR. Es schmeckt wie DDR (allerdings noch mit Bananen). Es riecht wie DDR. Wenn das nicht DDR ist, was ist es dann?“ Ost SPD Mitbegründer Gunter Weißgerber über seine DDR Déjà vus am Beispiel von Nena und der Hetze gegen sie.",Es schmeckt wie DDR,Es riecht wie DDR,0,0,0,0
1027,"Wieler setzt auf harte Schritte – „vierte Welle hat begonnen“ Bild: 'Neues Panik Papier des Robert Koch Instituts' Ein Mann sieht rot: Der RKI Chef  macht jetzt mobil – er will harte Schritte und fordert, die Inzidenz niedrig zu halten. Kommen jetzt neue Daumenschrauben? Oder setzen sich die Länder durch, die Wieler widersprechen? Hinter den Kulissen tobt ein Kampf… ",vierte Welle hat begonnen,er will harte Schritte und fordert,0,0,0,1
1028,"Söder Vize rechnet mit Impf  und Corona Politik ab: „Ungeimpfte nicht an Rand drängen!“ Aiwanger teilt auch gegen seinen Chef und dessen Impfgläubigkeit aus: 'Den Leuten zu suggerieren, ein kleiner Pieks, dann ist die Welt gerettet, das ist zu einfach.' ",Den Leuten zu suggerieren,dann ist die Welt gerettet,0,0,0,0
1029,"Eine Grünen Politikerin musste sich entschuldigen, weil sie erzählte, dass sie als Kind Indianerhäuptling werden wollte. Baerbock wird als Rassistin beschimpft, weil sie 'Neger' sagte. Tragikomisch: Sie sind Opfer der Hysterie, die ihre eigene Partei maßgeblich mit befeuert hat.",dass sie als Kind Indianerhäuptling werden wollte,weil sie 'Neger' sagte,1,0,0,0
1030,"Wie Annelena Baerbock die Welt retten möchte – oder zumindest das Weltklima.  Heute auf der Bundespressekonferenz. Ich wollte heute von der Kanzlerkandidatin wissen, wie das kleine Deutschland das Klima in der großen weiten Welt retten will – und ich wollte auch prüfen, wie sattelfest sie bei den Grund Daten ist. Das Ergebnis war faszinierend – sehen Sie es sich an! ",oder zumindest das Weltklima,Heute auf der Bundespressekonferenz,0,0,0,0
1031,"Sturm im Berliner Wasserglas – das kann man sich nicht ausdenken: Ausgerechnet der personifizierten Moral Keule Baerbock rutscht das 'N Wort' raus – für dessen Benutzung sie noch vor kurzem den Parteiausschluss von Boris Palmer gefordert hat. Bei ihr sei alles anders, sagte sie jetzt.   ",Ausgerechnet der personifizierten Moral Keule Baerbock rutscht das,für dessen Benutzung sie noch vor kurzem den Parteiausschluss von Boris Palmer gefordert hat,0,0,0,1
1032,„Faktenchecker“ als Meinungs Polizei und PR Abteilung der ARD:  Anschauliche Selbstentlarvung. Köstlich: Ausgerechnet die als „Faktenchecker“ getarnten Meinungspolizisten des Leitmediums dpa agieren wie die Werbe Abteilung der ARD (die ihr zahlender Kunde ist) – und „framen“ eine irreführende Aussage eines Tagesthemen Moderators ganz in dessen Sinne um.,Anschauliche Selbstentlarvung,die ihr zahlender Kunde ist,0,0,0,0
1033,"Am Anfang war der 'Volksverräter'. Dann kam der 'Klassenfeind'. Heute ist es der 'Schwurbler“, der 'Corona Leugner“, der „Impf Verweigerer“. Die Begriffe ändern sich. Die Mechanismen dahinter und der Typus Mensch, der willfährig jede von oben auferlegte Hetze nachplappert und Hass säht, bleiben gleich.",Corona Leugner,Impf Verweigerer,0,0,0,1
1034,"Politiker und „Ethiker“ jetzt plötzlich offen für Diskriminierung – von Ungeimpften. Kanzleramtsminister: „Geimpfte werden definitiv mehr Freiheiten haben als Ungeimpfte“ „Der Kauf von Produkten (im Einzelhandel) oder die Inanspruchnahme von Dienstleistungen (Restaurantbesuch, Theater, Fußball im Stadion) nur noch per Impfzertifikat“ – Ethik Professoren brachten es ins Spiel, die Politik greift es jetzt dankbar auf.  ",jetzt plötzlich offen für Diskriminierung,nur noch per Impfzertifikat,0,0,0,0
1035,"Politiker und „Ethiker“ jetzt plötzlich offen für Diskriminierung – von Ungeimpften. Kanzleramtsminister: „Geimpfte werden definitiv mehr Freiheiten haben als Ungeimpfte“ „Der Kauf von Produkten (im Einzelhandel) oder die Inanspruchnahme von Dienstleistungen (Restaurantbesuch, Theater, Fußball im Stadion) nur noch per Impfzertifikat“ – Ethik Professoren brachten es ins Spiel, die Politik greift es jetzt dankbar auf.  ",von Ungeimpften,im Einzelhandel,0,0,0,0
